trial,fold,F1 Score,Accuracy,Precision,Recall,Batch Size,Learning Rate,Optimizer,Scheduler,Accumulation Steps,Weight Decay
16,1,0.6616299688967876,0.6616088631984586,0.6664791135556095,0.6616088631984586,512,0.0010956235893030083,Adam,StepLR,1,0.0038131406380823543
16,2,0.6580613435677468,0.6595215157353885,0.6633093641595369,0.6595215157353885,512,0.0010956235893030083,Adam,StepLR,1,0.0038131406380823543
16,3,0.6563464753419423,0.6565234845443597,0.6624654814355828,0.6565234845443597,512,0.0010956235893030083,Adam,StepLR,1,0.0038131406380823543
16,4,0.6613543038855941,0.662786029706945,0.6659019315027724,0.662786029706945,512,0.0010956235893030083,Adam,StepLR,1,0.0038131406380823543
16,5,0.6540383181812265,0.6545162585307106,0.6615940716256904,0.6545162585307106,512,0.0010956235893030083,Adam,StepLR,1,0.0038131406380823543
