trial,fold,F1 Score,Accuracy,Precision,Recall,Batch Size,Learning Rate,Optimizer,Scheduler,Accumulation Steps,Weight Decay
25,1,0.6710185721742555,0.6714836223506744,0.6712561228977004,0.6714836223506744,384,0.002010018153236432,AdamW,StepLR,8,0.0008193052271364347
25,2,0.6706014890919536,0.6706807964033398,0.6716174901308153,0.6706807964033398,384,0.002010018153236432,AdamW,StepLR,8,0.0008193052271364347
25,3,0.6700116704329396,0.6700120433560819,0.6706677327695457,0.6700120433560819,384,0.002010018153236432,AdamW,StepLR,8,0.0008193052271364347
25,4,0.6696841096980538,0.6704937775993577,0.6696706703355318,0.6704937775993577,384,0.002010018153236432,AdamW,StepLR,8,0.0008193052271364347
25,5,0.6685862424073721,0.6692894419911682,0.6687874671980074,0.6692894419911682,384,0.002010018153236432,AdamW,StepLR,8,0.0008193052271364347
