trial,fold,F1 Score,Accuracy,Precision,Recall,Batch Size,Learning Rate,Optimizer,Scheduler,Accumulation Steps,Weight Decay
50,1,0.6564359382083135,0.6567919075144508,0.6567501108841711,0.6567919075144508,128,0.0003749527042278,AdamW,CosineAnnealingLR,4,0.0002337669134288
50,2,0.6589936882903656,0.6588792549775209,0.6594562151161257,0.6588792549775209,128,0.0003749527042278,AdamW,CosineAnnealingLR,4,0.0002337669134288
50,3,0.6562342208994285,0.6565234845443597,0.6565660323458447,0.6565234845443597,128,0.0003749527042278,AdamW,CosineAnnealingLR,4,0.0002337669134288
50,4,0.6625104374580725,0.6631874749096748,0.6628453310847194,0.6631874749096748,128,0.0003749527042278,AdamW,CosineAnnealingLR,4,0.0002337669134288
50,5,0.6542882839562792,0.6548374146928945,0.6546199582061479,0.6548374146928945,128,0.0003749527042278,AdamW,CosineAnnealingLR,4,0.0002337669134288
94,1,0.6854604794747143,0.685854206807964,0.6869923163066373,0.685854206807964,256,0.0016406643744525,AdamW,StepLR,2,0.0014559334644784
94,2,0.6829163232010022,0.6836865767501605,0.6827779107027357,0.6836865767501605,256,0.0016406643744525,AdamW,StepLR,2,0.0014559334644784
94,3,0.6811204824150514,0.6821356884785227,0.6810516796429583,0.6821356884785227,256,0.0016406643744525,AdamW,StepLR,2,0.0014559334644784
94,4,0.6867423154796739,0.6872741870734644,0.6873188642432566,0.6872741870734644,256,0.0016406643744525,AdamW,StepLR,2,0.0014559334644784
94,5,0.6767687184536245,0.6769169008430349,0.6770304139602218,0.6769169008430349,256,0.0016406643744525,AdamW,StepLR,2,0.0014559334644784
12,1,0.6532229188508469,0.6541425818882466,0.653836282980411,0.6541425818882466,384,0.0004530970139282,AdamW,StepLR,4,0.0071658971897406
12,2,0.6510906339886129,0.6515735388567758,0.6510481993553324,0.6515735388567758,384,0.0004530970139282,AdamW,StepLR,4,0.0071658971897406
12,3,0.6524826904639458,0.6532316338819751,0.6521942513125759,0.6532316338819751,384,0.0004530970139282,AdamW,StepLR,4,0.0071658971897406
12,4,0.6547161071122882,0.6548374146928945,0.6549032687765579,0.6548374146928945,384,0.0004530970139282,AdamW,StepLR,4,0.0071658971897406
12,5,0.6521196321385765,0.6522681653954235,0.6524183002011064,0.6522681653954235,384,0.0004530970139282,AdamW,StepLR,4,0.0071658971897406
7,1,0.508929855143302,0.5188664097623635,0.5175247023162473,0.5188664097623635,64,1.4244809676134236e-06,Adam,CosineAnnealingLR,2,0.0002431246753668
7,2,0.5088138021912426,0.515655105973025,0.5130338534285904,0.515655105973025,64,1.4244809676134236e-06,Adam,CosineAnnealingLR,2,0.0002431246753668
7,3,0.5123888500456392,0.5207547169811321,0.5194715401540966,0.5207547169811321,64,1.4244809676134236e-06,Adam,CosineAnnealingLR,2,0.0002431246753668
7,4,0.5126751067338672,0.520915295062224,0.5196461763614942,0.520915295062224,64,1.4244809676134236e-06,Adam,CosineAnnealingLR,2,0.0002431246753668
7,5,0.5001866892780423,0.5089522280208751,0.5034903054149829,0.5089522280208751,64,1.4244809676134236e-06,Adam,CosineAnnealingLR,2,0.0002431246753668
91,1,0.6814609503641116,0.6816795118818241,0.6826733409745659,0.6816795118818241,256,0.0018723633891323,AdamW,StepLR,2,0.0010074082686021
91,2,0.6802640613299591,0.6807161207450225,0.6803649621063321,0.6807161207450225,256,0.0018723633891323,AdamW,StepLR,2,0.0010074082686021
91,3,0.6817899858306135,0.6819751103974308,0.6828252699027536,0.6819751103974308,256,0.0018723633891323,AdamW,StepLR,2,0.0010074082686021
91,4,0.6868059952968738,0.6871136089923725,0.6871461501589403,0.6871136089923725,256,0.0018723633891323,AdamW,StepLR,2,0.0010074082686021
91,5,0.6807454421435678,0.6810116419108792,0.6811098747788416,0.6810116419108792,256,0.0018723633891323,AdamW,StepLR,2,0.0010074082686021
55,1,0.67780135411653,0.6776653821451509,0.6785996322850614,0.6776653821451509,64,0.0023383160365833,AdamW,StepLR,1,0.0057076794413852
55,2,0.6767232712328382,0.6771034039820167,0.6778317225460638,0.6771034039820167,64,0.0023383160365833,AdamW,StepLR,1,0.0057076794413852
55,3,0.6698642566730151,0.6705740666399036,0.6704544282076155,0.6705740666399036,64,0.0023383160365833,AdamW,StepLR,1,0.0057076794413852
55,4,0.6792921520909926,0.6797270172621437,0.6801060063287772,0.6797270172621437,64,0.0023383160365833,AdamW,StepLR,1,0.0057076794413852
55,5,0.6727803045241161,0.6731433159373745,0.6734945637725507,0.6731433159373745,64,0.0023383160365833,AdamW,StepLR,1,0.0057076794413852
5,1,0.4913703242700951,0.5073859987154785,0.5029672868026999,0.5073859987154785,512,2.9719039416838115e-06,Adam,StepLR,1,4.00741461296203e-05
5,2,0.4839774084567364,0.4956647398843931,0.4898484830813294,0.4956647398843931,512,2.9719039416838115e-06,Adam,StepLR,1,4.00741461296203e-05
5,3,0.4893176004730764,0.4989963869931754,0.4921644706991509,0.4989963869931754,512,2.9719039416838115e-06,Adam,StepLR,1,4.00741461296203e-05
5,4,0.4900824714965001,0.5005218787635488,0.4961492867910849,0.5005218787635488,512,2.9719039416838115e-06,Adam,StepLR,1,4.00741461296203e-05
5,5,0.4890659951918373,0.4961862705740666,0.4926280337892796,0.4961862705740666,512,2.9719039416838115e-06,Adam,StepLR,1,4.00741461296203e-05
26,1,0.6475998321007435,0.6482016698779705,0.6481947776467074,0.6482016698779705,64,0.0001663447901966,AdamW,CosineAnnealingLR,8,0.0020047295923399
26,2,0.6439290071959523,0.6447495183044316,0.6440339573870766,0.6447495183044316,64,0.0001663447901966,AdamW,CosineAnnealingLR,8,0.0020047295923399
26,3,0.6425963825029539,0.6438378161380971,0.6428265940024553,0.6438378161380971,64,0.0001663447901966,AdamW,CosineAnnealingLR,8,0.0020047295923399
26,4,0.6510898427984849,0.6528301886792452,0.6509996050234155,0.6528301886792452,64,0.0001663447901966,AdamW,CosineAnnealingLR,8,0.0020047295923399
26,5,0.6443040015353431,0.6460859092733842,0.6444531696435104,0.6460859092733842,64,0.0001663447901966,AdamW,CosineAnnealingLR,8,0.0020047295923399
75,1,0.678117287430634,0.6779062299293513,0.6801994915162243,0.6779062299293513,256,0.0039908256686922,AdamW,StepLR,4,0.0018672674795009
75,2,0.6756290239141147,0.6763005780346821,0.6766848893514524,0.6763005780346821,256,0.0039908256686922,AdamW,StepLR,4,0.0018672674795009
75,3,0.678982423936604,0.6786029706945002,0.6800296967524921,0.6786029706945002,256,0.0039908256686922,AdamW,StepLR,4,0.0018672674795009
75,4,0.688069454375034,0.6887996788438379,0.6883768176183267,0.6887996788438379,256,0.0039908256686922,AdamW,StepLR,4,0.0018672674795009
75,5,0.6791857365939762,0.6786832597350462,0.6807955793823199,0.6786832597350462,256,0.0039908256686922,AdamW,StepLR,4,0.0018672674795009
77,1,0.6836944668041851,0.6838471419396275,0.6845410362658833,0.6838471419396275,256,0.0022811615730593,AdamW,StepLR,4,0.0011864176508883
77,2,0.6805729516123613,0.6804752729608221,0.6809705454571872,0.6804752729608221,256,0.0022811615730593,AdamW,StepLR,4,0.0011864176508883
77,3,0.6804910502151005,0.6808510638297872,0.6812505177884843,0.6808510638297872,256,0.0022811615730593,AdamW,StepLR,4,0.0011864176508883
77,4,0.685081280120171,0.6861501405058209,0.6848972060056209,0.6861501405058209,256,0.0022811615730593,AdamW,StepLR,4,0.0011864176508883
77,5,0.6769175979875109,0.6773183460457648,0.6775991303753408,0.6773183460457648,256,0.0022811615730593,AdamW,StepLR,4,0.0011864176508883
54,1,0.6799305843408193,0.6811978163134232,0.6815670418167764,0.6811978163134232,256,0.0014521336227046,AdamW,StepLR,2,0.0020589467417915
54,2,0.677594979373912,0.6782273603082851,0.6781778166742283,0.6782273603082851,256,0.0014521336227046,AdamW,StepLR,2,0.0020589467417915
54,3,0.6790074883161559,0.678924126856684,0.6798163422453487,0.678924126856684,256,0.0014521336227046,AdamW,StepLR,2,0.0020589467417915
54,4,0.685590423420532,0.6863107185869128,0.685947741978722,0.6863107185869128,256,0.0014521336227046,AdamW,StepLR,2,0.0020589467417915
54,5,0.6772834715463729,0.6778803693295865,0.6777854304338881,0.6778803693295865,256,0.0014521336227046,AdamW,StepLR,2,0.0020589467417915
13,1,0.6447425781736416,0.6459537572254336,0.646049960800893,0.6459537572254336,128,0.003966619572047,Adam,StepLR,1,0.000433618572072
13,2,0.6370238087074792,0.6374438021836866,0.6379752295143564,0.6374438021836866,128,0.003966619572047,Adam,StepLR,1,0.000433618572072
13,3,0.6346396627174883,0.6368526696105982,0.6366052282933307,0.6368526696105982,128,0.003966619572047,Adam,StepLR,1,0.000433618572072
13,4,0.6450436987618496,0.64656764351666,0.6487750866608938,0.64656764351666,128,0.003966619572047,Adam,StepLR,1,0.000433618572072
13,5,0.6368465085750953,0.6378161380971498,0.6391844271281223,0.6378161380971498,128,0.003966619572047,Adam,StepLR,1,0.000433618572072
70,1,0.6881516470247748,0.6885035324341683,0.6891784025572254,0.6885035324341683,256,0.0019875717840141,AdamW,StepLR,4,0.0015436336461969
70,2,0.6782145887519714,0.6789499036608864,0.6782585075244675,0.6789499036608864,256,0.0019875717840141,AdamW,StepLR,4,0.0015436336461969
