Wall time,Step,Value
1741960905.8251162,0,0.5375025868415833
1741960928.7956505,1,0.6404330134391785
1741960951.440745,2,0.6870007514953613
1741960974.7183232,3,0.7300465106964111
1741960997.278039,4,0.7630764842033386
1741961019.787275,5,0.7927578091621399
1741961042.7020752,6,0.8502917289733887
1741961064.6137989,7,0.8800057172775269
1741961087.6200275,8,0.8943952918052673
1741961110.361771,9,0.897269070148468
1741961132.7415686,10,0.908363938331604
1741961155.3183742,11,0.9319861531257629
1741961178.4142795,12,0.9394332766532898
1741961201.309823,13,0.942542314529419
1741961223.8045378,14,0.9457184672355652
1741961246.7723207,15,0.9479700326919556
1741961269.3504212,16,0.9533660411834717
1741961291.2969246,17,0.9547910094261169
1741961313.7880528,18,0.9571123719215393
1741961336.6222064,19,0.9582659006118774
1741961359.7409854,20,0.9581688642501831
1741961383.196941,21,0.9608165621757507
1741961406.852466,22,0.9611788988113403
1741961430.4330049,23,0.9619008302688599
1741961453.5031009,24,0.9629465937614441
1741961476.773655,25,0.9636878967285156
1741961499.6526902,26,0.9640681147575378
1741961521.693195,27,0.9654743075370789
1741961544.8787498,28,0.9646287560462952
1741961567.514294,29,0.9643073081970215
1741961590.5315738,30,0.9660791158676147
1741961613.877013,31,0.9644254446029663
1741961636.9579787,32,0.9666596055030823
1741961660.1409397,33,0.9660959243774414
1741961682.4202166,34,0.9658207297325134
1741961705.5459678,35,0.9666768312454224
1741961728.409513,36,0.967681348323822
1741961751.6757066,37,0.9668753743171692
1741961775.3929522,38,0.9663946032524109
1741961799.2916355,39,0.9674813151359558
1741961822.5837631,40,0.9671618938446045
1741961845.5595355,41,0.9669811129570007
1741961868.677093,42,0.9669585227966309
1741961892.5298817,43,0.968061089515686
1741961915.5939226,44,0.9673890471458435
1741961938.2103138,45,0.9666203260421753
1741961961.5031645,46,0.9685068726539612
1741961984.4791396,47,0.9678635597229004
1741962006.7276323,48,0.9689322710037231
1741962029.6268573,49,0.9671999216079712
1741962052.7867296,50,0.9677273631095886
1741962075.9099426,51,0.9674462080001831
1741962098.777526,52,0.9670210480690002
1741962121.44899,53,0.9674178957939148
1741962144.2533517,54,0.9677656292915344
1741962166.9033847,55,0.9681833982467651
1741962189.5695367,56,0.9681503772735596
1741962211.517551,57,0.9681442975997925
1741962234.4834113,58,0.96828293800354
1741962256.705536,59,0.9678648114204407
1741962280.2717993,60,0.9674444198608398
1741962303.2867582,61,0.968144953250885
1741962326.7052627,62,0.9674144983291626
1741962349.9502003,63,0.9685994386672974
1741962372.4928775,64,0.967882513999939
1741962394.4325674,65,0.9676399827003479
1741962416.607932,66,0.9682493209838867
1741962438.8305604,67,0.9677822589874268
1741962461.1566002,68,0.9665983319282532
1741962483.1401045,69,0.9680449962615967
1741962505.1907668,70,0.9670394659042358
1741962526.7045226,71,0.9677622318267822
1741962548.7135186,72,0.9675809741020203
1741962571.2456248,73,0.9689919948577881
1741962593.4216383,74,0.9674818515777588
1741962615.470868,75,0.9682631492614746
1741962637.5942516,76,0.9683475494384766
1741962660.3477743,77,0.9671583771705627
