trial,fold,F1 Score,Accuracy,Precision,Recall,Batch Size,Learning Rate,Optimizer,Scheduler,Accumulation Steps,Weight Decay
43,1,0.6824578469943623,0.6830443159922929,0.6829091424971584,0.6830443159922929,64,0.0008613225082790602,AdamW,StepLR,1,0.002662999333470566
43,2,0.6777255652342207,0.6782273603082851,0.6787667928627023,0.6782273603082851,64,0.0008613225082790602,AdamW,StepLR,1,0.002662999333470566
43,3,0.6841161884409238,0.6850260939381775,0.6841546310912406,0.6850260939381775,64,0.0008613225082790602,AdamW,StepLR,1,0.002662999333470566
43,4,0.6814771695649966,0.6810919309514252,0.6827346433523099,0.6810919309514252,64,0.0008613225082790602,AdamW,StepLR,1,0.002662999333470566
43,5,0.6832464106226168,0.6838217583299879,0.6829869907703152,0.6838217583299879,64,0.0008613225082790602,AdamW,StepLR,1,0.002662999333470566
