trial,fold,F1 Score,Accuracy,Precision,Recall,Batch Size,Learning Rate,Optimizer,Scheduler,Accumulation Steps,Weight Decay
47,1,0.677012347674918,0.6774245343609505,0.6771988146931519,0.6774245343609505,512,0.005611306946747184,AdamW,StepLR,2,0.0029468631086693588
47,2,0.6784309403648673,0.6782273603082851,0.6792693040453807,0.6782273603082851,512,0.005611306946747184,AdamW,StepLR,2,0.0029468631086693588
47,3,0.6733194629075118,0.6732236049779206,0.6743436145329309,0.6732236049779206,512,0.005611306946747184,AdamW,StepLR,2,0.0029468631086693588
47,4,0.6800537422326538,0.6810116419108792,0.6804332567762919,0.6810116419108792,512,0.005611306946747184,AdamW,StepLR,2,0.0029468631086693588
47,5,0.6739917999192395,0.6737856282617423,0.6747812390864516,0.6737856282617423,512,0.005611306946747184,AdamW,StepLR,2,0.0029468631086693588
